Player ID,Player Name,Batting Style,Bowling Style,Playing Role,Test Batting Pos,ODI Batting Pos,T20I Batting Pos,Bowling Type
34103,Krishnamachari Srikkanth,Right hand Bat,Right arm Offbreak,Opening Batter,Openers,Openers,,Spin
29632,Ajaysinhji Jadeja,Right hand Bat,Right arm Medium,Middle order Batter,Openers,Middle Order,,Right-arm Pacer
1070173,Shubman Gill,Right hand Bat,Right arm Offbreak,Opening Batter,Top Order,Openers,Openers,Spin
931581,Rishabh Rajendra Pant,Left hand Bat,,Wicketkeeper Batter,Middle Order,Middle Order,Middle Order,Unknown
642519,Shreyas Santosh Iyer,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,Middle Order,Middle Order,Middle Order,Spin
237095,Murali Vijay,Right hand Bat,Right arm Offbreak,Opening Batter,Openers,Openers,Openers,Spin
26421,Ravichandran Ashwin,Right hand Bat,Right arm Offbreak,Bowling Allrounder,Tail,Tail,Tail,Spin
625371,Hardik Himanshu Pandya,Right hand Bat,Right arm Medium fast,Allrounder,Middle Order,Middle Order,Middle Order,Right-arm Pacer
30934,Sanjay Vijay Manjrekar,Right hand Bat,Right arm Offbreak,Top order Batter,Top Order,Middle Order,,Spin
35577,Pahlan Ratanji Umrigar,Right hand Bat,Right arm Offbreak,,Middle Order,,,Spin
30009,Vinod Ganpat Kambli,Left hand Bat,Right arm Offbreak,Middle order Batter,Top Order,Middle Order,,Spin
29264,Harbhajan Singh,Right hand Bat,Right arm Offbreak,Bowler,Tail,Tail,Tail,Spin
30045,Krishnakumar Dinesh Karthik,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Middle Order,Middle Order,Middle Order,Spin
32323,Manoj Prabhakar,Right hand Bat,Right arm Medium,Bowling Allrounder,Openers,Tail,,Right-arm Pacer
30176,Anil Kumble,Right hand Bat,Legbreak Googly,Bowler,Tail,Tail,,Spin
446507,Suryakumar Ashok Yadav,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,Middle Order,Middle Order,Middle Order,All-rounder (Pace & Spin)
29990,Mohammad Kaif,Right hand Bat,Right arm Offbreak,Batter,Middle Order,Middle Order,,Spin
30936,Vijay Laxman Manjrekar,Right hand Bat,Right arm Offbreak,Top order Batter,Middle Order,,,Spin
30116,Syed Mujtaba Hussein Kirmani,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Tail,Tail,,Spin
26962,Chandrakant Gulabrao Borde,Right hand Bat,Legbreak,Allrounder,Middle Order,,,Spin
32685,Irfan Khan Pathan,Left hand Bat,Left arm Medium fast,Allrounder,Tail,Tail,Middle Order,Left-arm Pacer
32222,Mansur Ali Khan Pataudi (Nawab of),Right hand Bat,Right arm Medium,Middle order Batter,Middle Order,,,Right-arm Pacer
28624,Farokh Maneksha Engineer,Right hand Bat,Legbreak,Wicketkeeper Batter,Openers,Middle Order,,Spin
31036,Nayan Ramlal Mongia,Right hand Bat,,Wicketkeeper,Middle Order,Middle Order,,Unknown
32283,Sandeep Madhusudan Patil,Right hand Bat,Right arm Medium,Allrounder,Middle Order,Middle Order,,Right-arm Pacer
1151278,Yashasvi Bhupendra Kumar Jaiswal,Left hand Bat,Legbreak,Opening Batter,Openers,Openers,Openers,Spin
36075,Yashpal Sharma,Right hand Bat,Right arm Medium,Middle order Batter,Middle Order,Middle Order,,Right-arm Pacer
33186,Pankaj Roy,Right hand Bat,Right arm Medium,Opening Batter,Openers,,,Right-arm Pacer
34059,Rabindra Ramanarayan Singh,Left hand Bat,Right arm Medium fast,Allrounder,Middle Order,Middle Order,,Right-arm Pacer
28754,Aunshuman Dattajirao Gaekwad,Right hand Bat,Right arm Offbreak,Opening Batter,Openers,Openers,,Spin
27619,Chetandra Pratap Singh Chauhan,Right hand Bat,Right arm Offbreak,Opening Batter,Openers,Openers,,Spin
29290,Vijay Samuel Hazare,Right hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
35933,Ajit Laxman Wadekar,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Top order Batter,Top Order,Top Order,,All-rounder (Pace & Spin)
